Total battles: 466033
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Gholdengo          | 22.47738% | 209504 | 22.477% | 139626 | 23.837% | 
 | 2    | Murkrow            | 21.11986% | 196851 | 21.120% | 106532 | 18.187% | 
 | 3    | Armarouge          | 18.11234% | 168819 | 18.112% | 102653 | 17.525% | 
 | 4    | Maushold           | 18.10140% | 168717 | 18.101% | 106179 | 18.127% | 
 | 5    | Amoonguss          | 16.40538% | 152909 | 16.405% | 99193  | 16.934% | 
 | 6    | Indeedee-F         | 15.64095% | 145784 | 15.641% | 90700  | 15.484% | 
 | 7    | Meowscarada        | 15.52272% | 144682 | 15.523% | 92577  | 15.805% | 
 | 8    | Torkoal            | 13.63584% | 127095 | 13.636% | 81068  | 13.840% | 
 | 9    | Garchomp           | 13.55805% | 126370 | 13.558% | 82758  | 14.129% | 
 | 10   | Grimmsnarl         | 10.99268% | 102459 | 10.993% | 64072  | 10.938% | 
 | 11   | Annihilape         | 10.90502% | 101642 | 10.905% | 64256  | 10.970% | 
 | 12   | Garganacl          | 10.45055% | 97406  | 10.451% | 62046  | 10.593% | 
 | 13   | Palafin            |  9.60426% | 89518  |  9.604% | 72163  | 12.320% | 
 | 14   | Hydreigon          |  9.43689% | 87958  |  9.437% | 56196  |  9.594% | 
 | 15   | Chi-Yu             |  9.08197% | 84650  |  9.082% | 54901  |  9.373% | 
 | 16   | Dragonite          |  8.81998% | 82208  |  8.820% | 53375  |  9.112% | 
 | 17   | Dragapult          |  8.65765% | 80695  |  8.658% | 54263  |  9.264% | 
 | 18   | Volcarona          |  8.60368% | 80192  |  8.604% | 50001  |  8.536% | 
 | 19   | Kingambit          |  8.53909% | 79590  |  8.539% | 49377  |  8.430% | 
 | 20   | Sylveon            |  7.67510% | 71537  |  7.675% | 47208  |  8.059% | 
 | 21   | Kilowattrel        |  7.50129% | 69917  |  7.501% | 43253  |  7.384% | 
 | 22   | Glimmora           |  7.46964% | 69622  |  7.470% | 39103  |  6.676% | 
 | 23   | Chien-Pao          |  7.19048% | 67020  |  7.190% | 42745  |  7.297% | 
 | 24   | Pelipper           |  7.12707% | 66429  |  7.127% | 41716  |  7.122% | 
 | 25   | Arcanine           |  6.51681% | 60741  |  6.517% | 40701  |  6.949% | 
 | 26   | Flamigo            |  6.46360% | 60245  |  6.464% | 37937  |  6.477% | 
 | 27   | Quaquaval          |  6.43710% | 59998  |  6.437% | 38967  |  6.653% | 
 | 28   | Farigiraf          |  6.39644% | 59619  |  6.396% | 34560  |  5.900% | 
 | 29   | Ceruledge          |  6.35202% | 59205  |  6.352% | 38837  |  6.630% | 
 | 30   | Rotom-Wash         |  6.33818% | 59076  |  6.338% | 40624  |  6.935% | 
 | 31   | Tyranitar          |  6.26415% | 58386  |  6.264% | 37463  |  6.396% | 
 | 32   | Iron Hands         |  6.23636% | 58127  |  6.236% | 39100  |  6.675% | 
 | 33   | Baxcalibur         |  6.10204% | 56875  |  6.102% | 36137  |  6.169% | 
 | 34   | Roaring Moon       |  6.01395% | 56054  |  6.014% | 35238  |  6.016% | 
 | 35   | Great Tusk         |  5.64745% | 52638  |  5.647% | 34358  |  5.866% | 
 | 36   | Skeledirge         |  5.62449% | 52424  |  5.624% | 34044  |  5.812% | 
 | 37   | Hatterene          |  5.49446% | 51212  |  5.494% | 28979  |  4.947% | 
 | 38   | Iron Bundle        |  5.40530% | 50381  |  5.405% | 32404  |  5.532% | 
 | 39   | Slaking            |  4.68808% | 43696  |  4.688% | 26221  |  4.476% | 
 | 40   | Grafaiai           |  4.46513% | 41618  |  4.465% | 23723  |  4.050% | 
 | 41   | Abomasnow          |  4.39314% | 40947  |  4.393% | 24193  |  4.130% | 
 | 42   | Oranguru           |  4.19552% | 39105  |  4.196% | 23730  |  4.051% | 
 | 43   | Tinkaton           |  4.14670% | 38650  |  4.147% | 24673  |  4.212% | 
 | 44   | Brute Bonnet       |  4.05175% | 37765  |  4.052% | 24094  |  4.113% | 
 | 45   | Arboliva           |  3.78664% | 35294  |  3.787% | 22309  |  3.809% | 
 | 46   | Gastrodon          |  3.62732% | 33809  |  3.627% | 22944  |  3.917% | 
 | 47   | Clodsire           |  3.50973% | 32713  |  3.510% | 20827  |  3.556% | 
 | 48   | Iron Moth          |  3.50372% | 32657  |  3.504% | 20787  |  3.549% | 
 | 49   | Iron Valiant       |  3.35759% | 31295  |  3.358% | 19979  |  3.411% | 
 | 50   | Pawmot             |  3.28979% | 30663  |  3.290% | 19829  |  3.385% | 
 | 51   | Oricorio-Pom-Pom   |  3.27187% | 30496  |  3.272% | 16894  |  2.884% | 
 | 52   | Orthworm           |  3.26715% | 30452  |  3.267% | 20569  |  3.512% | 
 | 53   | Azumarill          |  3.24441% | 30240  |  3.244% | 20007  |  3.416% | 
 | 54   | Ting-Lu            |  3.15568% | 29413  |  3.156% | 19781  |  3.377% | 
 | 55   | Talonflame         |  3.00783% | 28035  |  3.008% | 16103  |  2.749% | 
 | 56   | Scizor             |  3.00258% | 27986  |  3.003% | 19098  |  3.260% | 
 | 57   | Sableye            |  2.99560% | 27921  |  2.996% | 17356  |  2.963% | 
 | 58   | Cinderace          |  2.97554% | 27734  |  2.976% | 18345  |  3.132% | 
 | 59   | Lilligant          |  2.87641% | 26810  |  2.876% | 16400  |  2.800% | 
 | 60   | Mimikyu            |  2.85345% | 26596  |  2.853% | 16042  |  2.739% | 
 | 61   | Houndstone         |  2.85194% | 26582  |  2.852% | 16120  |  2.752% | 
 | 62   | Corviknight        |  2.79873% | 26086  |  2.799% | 17389  |  2.969% | 
 | 63   | Medicham           |  2.71322% | 25289  |  2.713% | 15524  |  2.650% | 
 | 64   | Espathra           |  2.69337% | 25104  |  2.693% | 15284  |  2.609% | 
 | 65   | Ditto              |  2.65636% | 24759  |  2.656% | 16041  |  2.739% | 
 | 66   | Breloom            |  2.64069% | 24613  |  2.641% | 15761  |  2.691% | 
 | 67   | Gyarados           |  2.61752% | 24397  |  2.618% | 16254  |  2.775% | 
 | 68   | Cetitan            |  2.56033% | 23864  |  2.560% | 15619  |  2.667% | 
 | 69   | Scovillain         |  2.25735% | 21040  |  2.257% | 13613  |  2.324% | 
 | 70   | Gallade            |  2.25134% | 20984  |  2.251% | 12896  |  2.202% | 
 | 71   | Dudunsparce        |  2.22989% | 20784  |  2.230% | 12020  |  2.052% | 
 | 72   | Bellibolt          |  2.20811% | 20581  |  2.208% | 12766  |  2.179% | 
 | 73   | Bronzong           |  2.19180% | 20429  |  2.192% | 11588  |  1.978% | 
 | 74   | Pincurchin         |  2.18525% | 20368  |  2.185% | 12071  |  2.061% | 
 | 75   | Cyclizar           |  2.16616% | 20190  |  2.166% | 14491  |  2.474% | 
 | 76   | Hariyama           |  1.97550% | 18413  |  1.976% | 11869  |  2.026% | 
 | 77   | Tauros-Paldea-Aqua |  1.90748% | 17779  |  1.907% | 11887  |  2.029% | 
 | 78   | Rabsca             |  1.86414% | 17375  |  1.864% | 10304  |  1.759% | 
 | 79   | Gardevoir          |  1.76404% | 16442  |  1.764% | 10580  |  1.806% | 
 | 80   | Charizard          |  1.75985% | 16403  |  1.760% | 11045  |  1.886% | 
 | 81   | Dondozo            |  1.71919% | 16024  |  1.719% | 10293  |  1.757% | 
 | 82   | Tauros-Paldea-Blaze |  1.71597% | 15994  |  1.716% | 9551   |  1.631% | 
 | 83   | Oricorio-Sensu     |  1.71329% | 15969  |  1.713% | 9058   |  1.546% | 
 | 84   | Salamence          |  1.63197% | 15211  |  1.632% | 9959   |  1.700% | 
 | 85   | Toxapex            |  1.56523% | 14589  |  1.565% | 9573   |  1.634% | 
 | 86   | Toedscruel         |  1.51330% | 14105  |  1.513% | 8740   |  1.492% | 
 | 87   | Toxtricity         |  1.49195% | 13906  |  1.492% | 8795   |  1.501% | 
 | 88   | Brambleghast       |  1.47404% | 13739  |  1.474% | 9070   |  1.548% | 
 | 89   | Gengar             |  1.43413% | 13367  |  1.434% | 8365   |  1.428% | 
 | 90   | Coalossal          |  1.40172% | 13065  |  1.402% | 7128   |  1.217% | 
 | 91   | Barraskewda        |  1.36621% | 12734  |  1.366% | 9002   |  1.537% | 
 | 92   | Lucario            |  1.33081% | 12404  |  1.331% | 7374   |  1.259% | 
 | 93   | Slowking           |  1.32555% | 12355  |  1.326% | 8204   |  1.401% | 
 | 94   | Wo-Chien           |  1.31933% | 12297  |  1.319% | 8176   |  1.396% | 
 | 95   | Raichu             |  1.31268% | 12235  |  1.313% | 7852   |  1.341% | 
 | 96   | Dachsbun           |  1.30334% | 12148  |  1.303% | 7735   |  1.321% | 
 | 97   | Tsareena           |  1.29658% | 12085  |  1.297% | 7882   |  1.346% | 
 | 98   | Flutter Mane       |  1.26289% | 11771  |  1.263% | 7491   |  1.279% | 
 | 99   | Scream Tail        |  1.26096% | 11753  |  1.261% | 7559   |  1.290% | 
 | 100  | Jolteon            |  1.25334% | 11682  |  1.253% | 7452   |  1.272% | 
 | 101  | Indeedee           |  1.23650% | 11525  |  1.237% | 7006   |  1.196% | 
 | 102  | Iron Treads        |  1.21365% | 11312  |  1.214% | 7423   |  1.267% | 
 | 103  | Goodra             |  1.20925% | 11271  |  1.209% | 7487   |  1.278% | 
 | 104  | Klefki             |  1.20228% | 11206  |  1.202% | 6434   |  1.098% | 
 | 105  | Froslass           |  1.19959% | 11181  |  1.200% | 7128   |  1.217% | 
 | 106  | Krookodile         |  1.19691% | 11156  |  1.197% | 6979   |  1.191% | 
 | 107  | Pachirisu          |  1.18865% | 11079  |  1.189% | 6732   |  1.149% | 
 | 108  | Noivern            |  1.16397% | 10849  |  1.164% | 6521   |  1.113% | 
 | 109  | Clawitzer          |  1.14252% | 10649  |  1.143% | 7104   |  1.213% | 
 | 110  | Vaporeon           |  1.14134% | 10638  |  1.141% | 7144   |  1.220% | 
 | 111  | Jumpluff           |  1.10303% | 10281  |  1.103% | 6538   |  1.116% | 
 | 112  | Iron Jugulis       |  1.08608% | 10123  |  1.086% | 6472   |  1.105% | 
 | 113  | Floatzel           |  1.07042% | 9977   |  1.070% | 6920   |  1.181% | 
 | 114  | Espeon             |  1.06452% | 9922   |  1.065% | 5611   |  0.958% | 
 | 115  | Lycanroc           |  0.99371% | 9262   |  0.994% | 6569   |  1.121% | 
 | 116  | Slither Wing       |  0.99317% | 9257   |  0.993% | 6255   |  1.068% | 
 | 117  | Masquerain         |  0.97729% | 9109   |  0.977% | 5301   |  0.905% | 
 | 118  | Sandy Shocks       |  0.92204% | 8594   |  0.922% | 5713   |  0.975% | 
 | 119  | Florges            |  0.91968% | 8572   |  0.920% | 5500   |  0.939% | 
 | 120  | Lokix              |  0.91292% | 8509   |  0.913% | 5858   |  1.000% | 
 | 121  | Slowbro            |  0.88824% | 8279   |  0.888% | 5231   |  0.893% | 
 | 122  | Hippowdon          |  0.84404% | 7867   |  0.844% | 5034   |  0.859% | 
 | 123  | Cloyster           |  0.80960% | 7546   |  0.810% | 4629   |  0.790% | 
 | 124  | Iron Thorns        |  0.80724% | 7524   |  0.807% | 4685   |  0.800% | 
 | 125  | Rotom-Heat         |  0.80187% | 7474   |  0.802% | 5056   |  0.863% | 
 | 126  | Frosmoth           |  0.80102% | 7466   |  0.801% | 4735   |  0.808% | 
 | 127  | Weavile            |  0.80069% | 7463   |  0.801% | 4512   |  0.770% | 
 | 128  | Eelektross         |  0.78138% | 7283   |  0.781% | 4986   |  0.851% | 
 | 129  | Vivillon           |  0.77720% | 7244   |  0.777% | 4180   |  0.714% | 
 | 130  | Drednaw            |  0.77623% | 7235   |  0.776% | 4888   |  0.834% | 
 | 131  | Spiritomb          |  0.77398% | 7214   |  0.774% | 4125   |  0.704% | 
 | 132  | Oricorio           |  0.76465% | 7127   |  0.765% | 4118   |  0.703% | 
 | 133  | Glaceon            |  0.76089% | 7092   |  0.761% | 4823   |  0.823% | 
 | 134  | Magnezone          |  0.73664% | 6866   |  0.737% | 4448   |  0.759% | 
 | 135  | Stonjourner        |  0.73546% | 6855   |  0.735% | 4143   |  0.707% | 
 | 136  | Drifblim           |  0.73289% | 6831   |  0.733% | 4135   |  0.706% | 
 | 137  | Haxorus            |  0.72355% | 6744   |  0.724% | 4127   |  0.705% | 
 | 138  | Hawlucha           |  0.72066% | 6717   |  0.721% | 4279   |  0.731% | 
 | 139  | Lurantis           |  0.71368% | 6652   |  0.714% | 4050   |  0.691% | 
 | 140  | Umbreon            |  0.70682% | 6588   |  0.707% | 4145   |  0.708% | 
 | 141  | Bombirdier         |  0.69620% | 6489   |  0.696% | 4180   |  0.714% | 
 | 142  | Staraptor          |  0.68150% | 6352   |  0.681% | 4111   |  0.702% | 
 | 143  | Toxicroak          |  0.67270% | 6270   |  0.673% | 4080   |  0.697% | 
 | 144  | Polteageist        |  0.65167% | 6074   |  0.652% | 3860   |  0.659% | 
 | 145  | Cryogonal          |  0.63590% | 5927   |  0.636% | 3762   |  0.642% | 
 | 146  | Mudsdale           |  0.62978% | 5870   |  0.630% | 3652   |  0.623% | 
 | 147  | Golduck            |  0.62356% | 5812   |  0.624% | 3936   |  0.672% | 
 | 148  | Beartic            |  0.62249% | 5802   |  0.622% | 4090   |  0.698% | 
 | 149  | Gothitelle         |  0.60264% | 5617   |  0.603% | 3429   |  0.585% | 
 | 150  | Salazzle           |  0.56970% | 5310   |  0.570% | 3429   |  0.585% | 
 | 151  | Ampharos           |  0.56434% | 5260   |  0.564% | 3313   |  0.566% | 
 | 152  | Bisharp            |  0.55930% | 5213   |  0.559% | 3378   |  0.577% | 
 | 153  | Blissey            |  0.55318% | 5156   |  0.553% | 3204   |  0.547% | 
 | 154  | Tropius            |  0.53290% | 4967   |  0.533% | 3150   |  0.538% | 
 | 155  | Appletun           |  0.52303% | 4875   |  0.523% | 3118   |  0.532% | 
 | 156  | Camerupt           |  0.51284% | 4780   |  0.513% | 3084   |  0.527% | 
 | 157  | Zoroark            |  0.50179% | 4677   |  0.502% | 1890   |  0.323% | 
 | 158  | Primeape           |  0.48763% | 4545   |  0.488% | 2439   |  0.416% | 
 | 159  | Dragalge           |  0.47143% | 4394   |  0.471% | 2919   |  0.498% | 
 | 160  | Honchkrow          |  0.46574% | 4341   |  0.466% | 2821   |  0.482% | 
 | 161  | Greninja           |  0.45866% | 4275   |  0.459% | 2677   |  0.457% | 
 | 162  | Veluza             |  0.44600% | 4157   |  0.446% | 2553   |  0.436% | 
 | 163  | Revavroom          |  0.44214% | 4121   |  0.442% | 2684   |  0.458% | 
 | 164  | Ursaring           |  0.44085% | 4109   |  0.441% | 2709   |  0.462% | 
 | 165  | Forretress         |  0.43495% | 4054   |  0.435% | 2530   |  0.432% | 
 | 166  | Quagsire           |  0.43130% | 4020   |  0.431% | 2610   |  0.446% | 
 | 167  | Palossand          |  0.42830% | 3992   |  0.428% | 2569   |  0.439% | 
 | 168  | Lycanroc-Dusk      |  0.41928% | 3908   |  0.419% | 2426   |  0.414% | 
 | 169  | Mabosstiff         |  0.41746% | 3891   |  0.417% | 2463   |  0.420% | 
 | 170  | Crabominable       |  0.41564% | 3874   |  0.416% | 2488   |  0.425% | 
 | 171  | Altaria            |  0.41199% | 3840   |  0.412% | 2403   |  0.410% | 
 | 172  | Avalugg            |  0.41145% | 3835   |  0.411% | 2495   |  0.426% | 
 | 173  | Leafeon            |  0.39547% | 3686   |  0.395% | 2449   |  0.418% | 
 | 174  | Chansey            |  0.38259% | 3566   |  0.383% | 2283   |  0.390% | 
 | 175  | Houndoom           |  0.37229% | 3470   |  0.372% | 2219   |  0.379% | 
 | 176  | Spidops            |  0.37015% | 3450   |  0.370% | 1751   |  0.299% | 
 | 177  | Electrode          |  0.34515% | 3217   |  0.345% | 1965   |  0.335% | 
 | 178  | Luxray             |  0.33463% | 3119   |  0.335% | 2043   |  0.349% | 
 | 179  | Mismagius          |  0.32787% | 3056   |  0.328% | 1994   |  0.340% | 
 | 180  | Klawf              |  0.32455% | 3025   |  0.325% | 1842   |  0.314% | 
 | 181  | Heracross          |  0.32208% | 3002   |  0.322% | 2089   |  0.357% | 
